0,10260015,meteor,1
0,14491496,firebase,1
0,15079163,firebase firebase-security,1
0,15167981,firebase firebase-security,1
0,17978990,javascript angularjs routes angularjs-directive angularjs-routing,1
0,17900201,angularjs angularjs-directive,1
0,14514461,javascript angularjs,1
0,17527870,javascript coffeescript clipboard trello,1
0,5205602,php facebook permissions facebook-php-sdk,1
0,12916539,php twitter,1
0,2092527,browser,1
0,16002366,javascript scope variable-scope,1
0,7149239,javascript jquery plugins,1
0,866989,osx unix path fish-shell,1
0,1143614,jquery css highlighting selected,1
0,13383886,javascript native-methods,1
0,23835898,javascript node.js npm gulp browserify,1
0,5601931,git,1
0,5538972,javascript debugging console internet-explorer-9,1
0,23381423,javascript node.js,1
1,17972347,python windows gcc mingw installation,1
1,23352704,python windows pyserial firewire,1
1,10380358,android android-webview,1
1,24004502,android webview,1
1,22316720,android facebook facebook-login facebook-requests facebook-sdk-3.1,1
1,24541262,java intellij-idea,1
1,13334733,android android-fragments android-viewpager fragmentpageradapter android-nested-fragment,1
1,20836979,java android numberpicker,1
2,13292237,c++ macros c++11 string-literals constexpr,1
2,8476975,c++ parsing function reflection binding,1
2,15858141,c++ string c++11 metaprogramming user-defined-literals,1
2,16303821,c++ sublimetext2 code-snippets,1
2,199333,c++ c integer-overflow,1
2,2171177,api compiler-construction binary operating-system abi,1
2,23444818,c++ c++11 constexpr strcat itoa,1
2,272900,c++ g++,1
3,21055183,r knitr rmarkdown,1
3,21536053,r,1
3,19539863,haskell snap-framework heist,1
3,20234286,postgresql haskell heist,1
3,22184963,r memory arguments ellipsis copying,1
3,22505789,r data.table,1
3,18517293,r markdown knitr rmarkdown,1
3,22631968,r methods eval s4 reference-class,1
4,19779966,google-compute-engine,1
4,20139239,python google-app-engine google-cloud-storage,1
4,20713572,google-compute-engine,1
4,20876780,google-app-engine google-cloud-storage,1
4,21012156,google-api google-drive-sdk google-api-dotnet-client,1
4,21052484,python google-app-engine google-cloud-storage,1
4,21467305,python python-2.7 google-spreadsheet-api google-api-python-client,1
4,21863392,google-compute-engine,1
4,22868094,performance amazon-ec2 neo4j disk google-compute-engine,1
4,23223308,google-compute-engine,1
4,15316601,git git-pull,1
4,16994242,google-compute-engine google-cloud-console,1
5,7298731,android context,1
5,7759855,java eclipse intellij-idea,1
5,11508191,android layout alignment,1
5,17337182,android,1
5,5084896,android android-contentprovider android-contentresolver,1
6,20478577,json go,1
6,13146553,gps ios-simulator emulation gpx,1
6,13294919,python image stream ffmpeg python-imaging-library,1
6,24534072,go,1
6,25937374,io go,1
6,26190173,io go,1
6,26190204,http go,1
6,26634554,algorithm go,1
6,26808810,memory time go profiling,1
6,27371518,networking go,1
6,27419110,networking go,1
6,19935727,c sdl sdl-2,1
6,25190971,go,1
7,18206023,java service playframework wrapper,1
7,20222445,clojure overtone,1
7,20632512,asynchronous clojure reactive-programming frp core.async,1
7,18334805,r graphviz,1
7,12893426,javascript jquery html css,1
8,19267779,php jquery ajax forms,1
8,19333578,git github,1
8,19930113,yii jenkins namespaces continuous-integration phpunit,1
8,20113425,php ajax,1
8,20611291,symfony2 captcha,1
8,630453,http rest post put,1
8,2764129,javascript facebook xfbml,1
9,726894,unix vim editor vi,1
9,1218390,vim productivity vi,1
9,107390,http,1
9,2314920,django orm,1
9,1057564,git directed-acyclic-graphs,1
9,5023762,django,1
9,100003,python oop metaclass python-datamodel,1
9,111234,python callable,1
10,17224798,php opcache,1
10,182630,javascript jquery tips-and-tricks hints-and-tips,1
10,11405202,symfony2,1
10,3737139,php operators symbols,1
10,4672505,jquery select input,1
10,15666048,angularjs dependency-injection angularjs-service angularjs-factory,1
10,12319758,javascript angularjs,1
11,1750435,java enums,1
11,19313259,java reflection,1
11,34571,java unit-testing junit tdd private,1
11,12369704,java eclipse unit-testing tdd ncrunch,1
11,9046171,eclipse eclipse-plugin code-coverage,1
11,3840125,unit-testing design-patterns testing tdd,1
11,12302702,java design-patterns configuration,1
11,615334,java resharper,1
11,316265,eclipse performance,1
11,4904096,testing,1
11,7672511,unit-testing testing tdd integration-testing regression-testing,1
11,5103384,java ant,1
11,242650,unit-testing testing code-coverage mutation-testing,1
11,5685257,java eclipse intellij-idea,1
11,239732,java eclipse ide intellij-idea,1
11,19383308,java,1
11,19397675,java junit,1
11,8951276,design-patterns asynchronous callback observer-pattern command-pattern,1
11,3987391,java events design-patterns design event-handling,1
11,2071050,java spring logging aop spring-aop,1
11,7453288,java code-smell instanceof,1
11,7067578,java,1
11,2213340,java multithreading,1
11,10642241,java generics varargs,1
11,19397643,java exception,1
11,1082850,java reflection interface,1
11,19440847,java generics,1
11,975134,java class static inner-classes,1
11,487258,algorithm complexity-theory computer-science big-o time-complexity,1
11,4520216,java testing code-coverage,1
11,4512358,java eclipse code-coverage emma,1
11,4385003,java reflection,1
11,2474017,java unit-testing reflection file-io,1
11,4701532,maven,1
11,19488746,java class field instantiation order-of-operations,1
11,19486741,java multithreading concurrency,1
11,7885573,java,1
11,6026813,java arrays collections,1
11,1075656,java collections,1
11,188311,java unit-testing oop,1
11,18812864,java byte,1
11,19589198,java oop tdd design-principles,1
11,13364406,java junit mocking mockito powermock,1
11,4387296,java constructor jaxb creation,1
11,322715,java data-structures collections arraylist linked-list,1
11,3759440,java guava,1
11,2030064,java eclipse,1
11,16815947,java akka,1
11,4493001,java scala asynchronous use-case akka,1
11,1441077,scala erlang state-machines fsm,1
11,9478753,c linux design-patterns embedded pthreads,1
11,2057752,java design design-patterns automata finite-state-machine,1
11,8938531,java unit-testing tell-dont-ask,1
11,1324403,c# c#-3.0 finite-automata,1
11,7369460,java functor,1
11,4861023,java generics,1
11,3357332,java concurrency actor actor-model,1
11,3583137,multithreading concurrency actor message-passing,1
11,605183,multithreading erlang parallel-processing lightweight-processes,1
11,3802370,java caching map,1
11,3879348,architecture dci,1
11,3173070,design-patterns architecture domain-driven-design use-case,1
11,378629,design-patterns dci,1
11,1054987,algorithm,1
11,11619680,oop design-patterns observer-pattern,1
11,5875414,java,1
11,19928256,multithreading concurrent-programming,1
11,19928214,java serialization,1
11,12618915,java database listener,1
11,16080039,database oracle design-patterns plsql pipe,1
11,5003832,java list map guava,1
11,101268,python hidden-features,1
11,15496,java,1
11,54886,java eclipse ide,1
11,359494,javascript operators equality equality-operator identity-operator,1
11,19955573,javascript operators boolean-logic,1
11,12296299,c# .net design-patterns,1
11,4645020,java string performance,1
11,19979030,java garbage-collection,1
11,7857832,java interface closures multiple-inheritance java-8,1
11,16764791,java java-8,1
11,2449461,java eclipse maven-2,1
11,8834806,eclipse maven m2eclipse,1
11,6178583,java maven junit junit4 maven-3,1
11,6137033,java java-8,1
11,20055121,java multithreading threadpool java.util.concurrent,1
11,1443210,git github,1
11,20073229,java generics lambda java-8,1
11,11145696,java lambda java-8,1
11,7160006,eclipse maven m2eclipse m2e,1
11,20089632,java list generics collections wildcard,1
11,442564,java synchronization,1
11,12159,multithreading unit-testing,1
11,20090341,java windows tomcat configuration intellij-idea,1
11,20097945,java class oop object,1
11,20104355,java regex,1
11,3295496,java javabeans serializable,1
11,20123192,hibernate jaxb moxy,1
11,7074,c# string,1
11,20123610,java eclipse intellij-idea command run-configuration,1
11,20127349,java,1
11,20139431,java,1
11,20139651,multithreading process context-switch,1
11,18865756,c++,1
11,20186980,java c algorithm scala logic,1
11,27578,java exception checked-exceptions,1
11,20210954,java design-patterns java.util.date,1
11,20211167,java testng,1
11,20211903,java generics,1
11,20215864,java concurrency future,1
11,17328641,c# performance conditional-operator,1
11,20216774,java maven javac java-compiler-api,1
11,20216979,java polymorphism,1
11,20217617,java ssl https weblogic keystore,1
11,20217839,java xml web-services,1
11,20218279,java data-structures map hashmap treemap,1
11,20218337,java generics constructor,1
11,14298972,java,1
11,19934204,java generics java-8,1
11,20236279,java spring unit-testing mockito,1
11,8100376,java classloader,1
11,1440134,java comparator comparable,1
11,20244554,java,1
11,20260140,java string jvm ibm-jvm,1
11,20260689,java,1
11,2592501,java date comparison,1
11,20265185,java multithreading performance random thread-local,1
11,676170,java packages,1
11,20265952,java,1
11,4956844,java,1
11,20266422,java java-8 java-stream,1
11,20266536,java design-patterns,1
11,20279446,java generics incompatibletypeerror,1
11,20280235,java sorting,1
11,20282501,java android timer countdown,1
11,20281952,java multithreading concurrency,1
11,117690,java multithreading concurrency,1
11,462297,java templates class generics,1
11,15320474,java static instance instance-variables shadowing,1
11,20283692,java java-ee design-patterns factory-pattern,1
11,4667633,hudson continuous-integration hosted bamboo,1
11,20299840,java arraylist,1
11,20299914,java dead-code unreachable-code,1
11,4659659,java inputstream,1
11,20330327,java generics map deep-copy,1
11,20347074,java jvm classloader,1
11,6374915,java byte buffer,1
